policy,age,cancel_date,make,pol_from,pol_to,state
POL000000033,21,,Ford,2016-09-07,2017-09-06,NSW
POL000000034,79,,Honda,2016-11-20,2017-11-19,NSW
POL000000035,46,,Hyundai,2016-10-11,2017-10-10,NSW
POL000000036,25,,Honda,2016-12-25,2017-12-24,NSW
POL000000037,31,,Holden,2016-04-11,2017-04-10,NSW
POL000000038,94,,Holden,2016-09-05,2017-09-04,NSW
POL000000039,53,,Subaru,2016-06-02,2017-06-01,NSW
POL000000040,54,,Honda,2016-07-02,2017-07-01,NSW
POL000000041,66,,Subaru,2017-03-07,2018-03-06,NSW
POL000000042,20,,Nissan,2016-11-16,2017-11-15,NSW
POL000000043,45,,Nissan,2016-10-09,2017-10-08,NSW
POL000000044,90,2016-01-07,Subaru,2016-12-16,2017-12-15,NSW
POL000000045,28,,Hyundai,2016-04-19,2017-04-18,NSW
POL000000046,80,,Nissan,2016-04-09,2017-04-08,NSW
POL000000047,31,,Honda,2016-07-09,2017-07-08,NSW
POL000000048,28,,Toyota,2017-01-11,2018-01-10,NSW
POL000000049,69,,Hyundai,2016-11-06,2017-11-05,NSW
POL000000050,24,,Holden,2016-04-23,2017-04-22,NSW
POL000000051,83,,Mazda,2017-01-08,2018-01-07,NSW
POL000000052,57,2016-01-31,Hyundai,2016-09-13,2017-09-12,NSW
POL000000053,95,,Toyota,2017-03-18,2018-03-17,NSW
POL000000054,40,,Hyundai,2016-11-14,2017-11-13,NSW
POL000000055,30,,Mazda,2016-10-02,2017-10-01,NSW
POL000000056,34,,Ford,2016-05-06,2017-05-05,NSW
POL000000057,53,,Honda,2017-01-31,2018-01-30,NSW
POL000000058,30,2016-11-05,Holden,2016-12-16,2017-12-15,NSW
POL000000059,38,,Volkswagen,2016-07-03,2017-07-02,NSW
POL000000060,71,,Toyota,2016-11-30,2017-11-29,NSW
POL000000061,19,,Mazda,2016-06-23,2017-06-22,NSW
POL000000062,79,,Ford,2017-02-24,2018-02-23,NSW
POL000000063,76,,Volkswagen,2017-01-13,2018-01-12,NSW
POL000000064,46,,Toyota,2016-05-25,2017-05-24,NSW
POL000000065,52,,Toyota,2016-06-08,2017-06-07,NSW
POL000000066,33,,Holden,2016-12-13,2017-12-12,NSW
POL000000067,26,,Ford,2016-05-24,2017-05-23,NSW
POL000000068,79,,Hyundai,2016-12-11,2017-12-10,NSW
POL000000069,85,2016-09-16,Volkswagen,2016-09-28,2017-09-27,NSW
POL000000070,75,,Nissan,2017-01-27,2018-01-26,NSW
POL000000071,78,,Nissan,2016-06-22,2017-06-21,NSW
POL000000072,63,,Ford,2016-06-13,2017-06-12,NSW
POL000000073,86,,Mitsubishi,2016-08-18,2017-08-17,NSW
POL000000074,84,,Holden,2016-05-04,2017-05-03,NSW
POL000000075,70,,Mazda,2016-04-28,2017-04-27,NSW
POL000000076,99,,Holden,2016-06-09,2017-06-08,NSW
POL000000077,83,2016-07-29,Honda,2017-01-10,2018-01-09,NSW
POL000000078,21,,Mazda,2017-03-22,2018-03-21,NSW
POL000000079,82,,Toyota,2016-08-09,2017-08-08,NSW
POL000000080,33,,Holden,2017-03-23,2018-03-22,NSW
POL000000081,93,,Holden,2016-10-21,2017-10-20,NSW
POL000000082,20,,Honda,2017-01-12,2018-01-11,NSW
POL000000083,63,,Honda,2016-06-19,2017-06-18,NSW
POL000000084,98,,Toyota,2017-03-01,2018-02-28,NSW
POL000000085,43,,Hyundai,2016-12-26,2017-12-25,NSW
POL000000086,58,2015-07-26,Subaru,2016-07-13,2017-07-12,NSW
POL000000087,84,,Hyundai,2016-11-29,2017-11-28,NSW
POL000000088,96,,Subaru,2016-11-07,2017-11-06,NSW
POL000000089,71,,Ford,2016-09-26,2017-09-25,NSW
POL000000090,94,,Holden,2017-01-08,2018-01-07,NSW
POL000000091,83,2015-06-08,Nissan,2016-05-13,2017-05-12,NSW
POL000000092,86,,Holden,2017-01-03,2018-01-02,NSW
POL000000093,37,,Hyundai,2016-06-21,2017-06-20,NSW
POL000000094,48,,Mitsubishi,2016-08-21,2017-08-20,NSW
POL000000095,28,,Hyundai,2016-10-27,2017-10-26,NSW
POL000000096,30,,Mitsubishi,2016-09-10,2017-09-09,NSW
POL000000097,96,,Subaru,2017-01-23,2018-01-22,NSW
POL000000098,43,,Mitsubishi,2017-03-05,2018-03-04,NSW
POL000000099,21,,Hyundai,2017-01-14,2018-01-13,NSW
POL000000100,70,,Mazda,2016-05-02,2017-05-01,NSW
POL000000101,71,,Ford,2017-04-02,2018-04-01,NSW
POL000000102,52,,Volkswagen,2016-08-21,2017-08-20,NSW
POL000000103,87,,Mazda,2016-08-12,2017-08-11,NSW
POL000000104,61,,Nissan,2016-09-17,2017-09-16,NSW
POL000000105,59,,Ford,2016-08-04,2017-08-03,NSW
POL000000106,28,,Holden,2016-09-28,2017-09-27,NSW
POL000000107,21,,Subaru,2016-10-02,2017-10-01,NSW
POL000000108,95,,Hyundai,2016-06-09,2017-06-08,NSW
POL000000109,93,,Nissan,2016-12-20,2017-12-19,NSW
POL000000110,88,,Toyota,2016-11-16,2017-11-15,NSW
POL000000111,46,2016-10-01,Toyota,2017-01-17,2018-01-16,NSW
POL000000112,41,,Volkswagen,2016-08-28,2017-08-27,NSW
POL000000113,44,,Mitsubishi,2016-07-27,2017-07-26,NSW
POL000000114,61,,Holden,2017-03-28,2018-03-27,NSW
POL000000115,59,,Ford,2016-11-18,2017-11-17,NSW
POL000000116,63,,Holden,2016-11-30,2017-11-29,NSW
POL000000117,32,,Hyundai,2017-03-04,2018-03-03,NSW
POL000000118,39,,Ford,2016-09-30,2017-09-29,NSW
POL000000119,40,,Mazda,2016-11-12,2017-11-11,NSW
POL000000120,87,,Toyota,2016-06-30,2017-06-29,NSW
POL000000121,64,,Volkswagen,2016-04-09,2017-04-08,NSW
POL000000122,23,,Mazda,2017-02-19,2018-02-18,NSW
POL000000123,79,,Hyundai,2016-10-01,2017-09-30,NSW
POL000000124,63,,Mazda,2017-03-04,2018-03-03,NSW
POL000000125,62,,Mitsubishi,2017-02-01,2018-01-31,NSW
POL000000126,53,,Mitsubishi,2016-05-29,2017-05-28,NSW
POL000000127,25,,Mazda,2017-01-02,2018-01-01,NSW
POL000000128,49,,Subaru,2016-07-02,2017-07-01,NSW
POL000000129,28,,Mitsubishi,2017-03-08,2018-03-07,NSW
POL000000130,20,,Volkswagen,2016-05-25,2017-05-24,NSW
POL000000131,89,,Mitsubishi,2016-06-24,2017-06-23,NSW
POL000000132,27,,Subaru,2016-08-11,2017-08-10,NSW
POL000000133,36,,Hyundai,2016-06-21,2017-06-20,NSW
POL000000134,62,,Toyota,2016-09-11,2017-09-10,NSW
POL000000135,63,,Hyundai,2016-09-01,2017-08-31,NSW
POL000000136,63,,Hyundai,2017-01-03,2018-01-02,NSW
POL000000137,35,,Mitsubishi,2017-03-26,2018-03-25,NSW
POL000000138,85,,Subaru,2016-08-02,2017-08-01,NSW
POL000000139,68,,Honda,2016-06-17,2017-06-16,NSW
POL000000140,22,,Holden,2016-12-02,2017-12-01,NSW
POL000000141,77,,Mazda,2016-05-30,2017-05-29,NSW
POL000000142,21,,Holden,2016-08-02,2017-08-01,NSW
POL000000143,57,2015-08-09,Nissan,2016-05-30,2017-05-29,NSW
POL000000144,92,,Mazda,2016-04-23,2017-04-22,NSW
POL000000145,56,,Toyota,2016-04-08,2017-04-07,NSW
POL000000146,52,,Volkswagen,2016-12-14,2017-12-13,NSW
POL000000147,71,,Mazda,2016-04-24,2017-04-23,NSW
POL000000148,90,,Volkswagen,2016-04-28,2017-04-27,NSW
POL000000149,49,,Nissan,2017-03-10,2018-03-09,NSW
POL000000150,47,,Nissan,2017-01-20,2018-01-19,NSW
POL000000151,73,,Holden,2016-04-17,2017-04-16,NSW
POL000000152,79,,Subaru,2016-08-05,2017-08-04,NSW
POL000000153,49,,Toyota,2016-09-29,2017-09-28,NSW
POL000000154,39,,Nissan,2017-02-03,2018-02-02,NSW
POL000000155,47,,Mitsubishi,2016-12-30,2017-12-29,NSW
POL000000156,78,,Nissan,2016-04-12,2017-04-11,NSW
POL000000157,38,,Ford,2017-03-26,2018-03-25,NSW
POL000000158,50,,Nissan,2016-08-29,2017-08-28,NSW
POL000000159,77,,Hyundai,2017-03-13,2018-03-12,NSW
POL000000160,75,,Volkswagen,2017-02-24,2018-02-23,NSW
POL000000161,64,,Mazda,2016-06-04,2017-06-03,NSW
POL000000162,92,,Nissan,2017-02-11,2018-02-10,NSW
POL000000163,48,,Ford,2017-01-06,2018-01-05,NSW
POL000000164,89,,Toyota,2016-12-28,2017-12-27,NSW
POL000000165,69,,Honda,2017-02-25,2018-02-24,NSW
POL000000166,51,,Mazda,2016-05-01,2017-04-30,NSW
POL000000167,93,,Toyota,2017-03-31,2018-03-30,NSW
POL000000168,52,,Nissan,2016-07-16,2017-07-15,NSW
POL000000169,34,,Ford,2016-06-08,2017-06-07,NSW
POL000000170,63,,Mitsubishi,2016-11-29,2017-11-28,NSW
POL000000171,26,,Mazda,2017-03-09,2018-03-08,NSW
POL000000172,47,,Honda,2016-06-01,2017-05-31,NSW
POL000000173,63,,Nissan,2016-10-09,2017-10-08,NSW
POL000000174,78,,Mitsubishi,2017-03-12,2018-03-11,NSW
POL000000175,77,,Honda,2017-03-29,2018-03-28,NSW
POL000000176,44,,Volkswagen,2016-10-18,2017-10-17,NSW
POL000000177,73,2016-07-28,Ford,2017-01-04,2018-01-03,NSW
POL000000178,49,,Volkswagen,2016-07-25,2017-07-24,NSW
POL000000179,40,,Holden,2017-01-29,2018-01-28,NSW
POL000000180,44,,Subaru,2016-10-10,2017-10-09,NSW
POL000000181,31,,Holden,2016-07-16,2017-07-15,NSW
POL000000182,91,,Mitsubishi,2016-09-08,2017-09-07,NSW
POL000000183,77,,Mitsubishi,2016-07-17,2017-07-16,NSW
POL000000184,87,,Volkswagen,2017-03-28,2018-03-27,NSW
POL000000185,38,,Mitsubishi,2017-02-04,2018-02-03,NSW
POL000000186,57,,Nissan,2016-05-29,2017-05-28,NSW
POL000000187,63,,Holden,2016-08-11,2017-08-10,NSW
POL000000188,28,,Volkswagen,2016-08-20,2017-08-19,NSW
POL000000189,44,,Honda,2016-09-28,2017-09-27,NSW
POL000000190,27,,Hyundai,2016-06-06,2017-06-05,NSW
POL000000191,27,,Toyota,2016-09-03,2017-09-02,NSW
POL000000192,20,,Holden,2017-01-14,2018-01-13,NSW
POL000000193,57,,Volkswagen,2016-07-29,2017-07-28,NSW
POL000000194,98,,Toyota,2016-04-25,2017-04-24,NSW
POL000000195,30,,Mitsubishi,2016-12-17,2017-12-16,NSW
POL000000196,87,,Hyundai,2016-05-13,2017-05-12,NSW
POL000000197,20,,Toyota,2016-11-28,2017-11-27,NSW
POL000000198,25,,Toyota,2017-03-10,2018-03-09,NSW
POL000000199,31,,Toyota,2016-08-12,2017-08-11,NSW
POL000000200,66,2016-07-08,Toyota,2016-10-24,2017-10-23,NSW
POL000000201,87,,Mitsubishi,2016-11-24,2017-11-23,NSW
POL000000202,70,,Hyundai,2016-06-16,2017-06-15,NSW
POL000000203,76,,Volkswagen,2016-11-17,2017-11-16,NSW
POL000000204,87,,Subaru,2016-10-07,2017-10-06,NSW
POL000000205,61,,Toyota,2016-07-27,2017-07-26,NSW
POL000000206,77,2015-07-20,Ford,2016-06-19,2017-06-18,NSW
POL000000207,65,,Nissan,2016-07-08,2017-07-07,NSW
POL000000208,35,,Honda,2016-07-03,2017-07-02,NSW
POL000000209,40,,Honda,2016-12-01,2017-11-30,NSW
POL000000210,24,,Toyota,2016-11-16,2017-11-15,NSW
POL000000211,56,,Subaru,2016-09-16,2017-09-15,NSW
POL000000212,67,,Mazda,2017-01-18,2018-01-17,NSW
POL000000213,37,2015-12-08,Ford,2016-09-25,2017-09-24,NSW
POL000000214,78,2015-10-21,Hyundai,2016-09-03,2017-09-02,NSW
POL000000215,59,,Volkswagen,2017-03-30,2018-03-29,NSW
POL000000216,23,,Ford,2016-06-25,2017-06-24,NSW
POL000000217,92,,Volkswagen,2016-09-03,2017-09-02,NSW
POL000000218,24,,Ford,2016-09-03,2017-09-02,NSW
POL000000219,82,,Volkswagen,2017-02-22,2018-02-21,NSW
POL000000220,53,,Ford,2016-08-21,2017-08-20,NSW
POL000000221,23,2016-01-28,Mazda,2016-12-19,2017-12-18,NSW
POL000000222,45,,Subaru,2016-12-03,2017-12-02,NSW
POL000000223,67,,Subaru,2016-06-09,2017-06-08,NSW
POL000000224,24,,Ford,2017-03-02,2018-03-01,NSW
POL000000225,49,,Honda,2016-12-13,2017-12-12,NSW
POL000000226,35,,Toyota,2016-08-21,2017-08-20,NSW
POL000000227,64,,Nissan,2017-02-12,2018-02-11,NSW
POL000000228,19,,Ford,2016-04-29,2017-04-28,NSW
POL000000229,90,,Mazda,2016-10-28,2017-10-27,NSW
POL000000230,83,,Mitsubishi,2016-10-14,2017-10-13,NSW
POL000000231,29,,Nissan,2017-03-08,2018-03-07,NSW
POL000000232,83,,Holden,2016-11-26,2017-11-25,NSW
POL000000233,32,,Hyundai,2016-08-08,2017-08-07,NSW
POL000000234,88,,Toyota,2016-07-22,2017-07-21,NSW
POL000000235,69,,Nissan,2017-02-23,2018-02-22,NSW
POL000000236,54,,Volkswagen,2016-08-01,2017-07-31,NSW
POL000000237,49,2016-06-07,Mitsubishi,2016-06-09,2017-06-08,NSW
POL000000238,84,2016-03-10,Honda,2016-07-13,2017-07-12,NSW
POL000000239,90,,Subaru,2017-02-15,2018-02-14,NSW
POL000000240,28,,Mazda,2017-03-01,2018-02-28,NSW
POL000000241,65,,Toyota,2016-09-06,2017-09-05,NSW
POL000000242,61,,Mazda,2017-04-04,2018-04-03,NSW
POL000000243,92,,Ford,2016-12-18,2017-12-17,NSW
POL000000244,44,,Mitsubishi,2016-12-13,2017-12-12,NSW
POL000000245,55,,Mazda,2016-07-28,2017-07-27,NSW
POL000000246,50,,Mazda,2016-08-25,2017-08-24,NSW
POL000000247,89,,Toyota,2016-12-13,2017-12-12,NSW
POL000000248,47,,Mitsubishi,2017-03-14,2018-03-13,NSW
POL000000249,60,,Holden,2016-07-12,2017-07-11,NSW
POL000000250,69,,Honda,2017-02-10,2018-02-09,NSW
POL000000251,58,2016-02-16,Volkswagen,2017-01-29,2018-01-28,NSW
POL000000252,52,,Hyundai,2016-12-10,2017-12-09,NSW
POL000000253,95,,Toyota,2017-01-31,2018-01-30,NSW
POL000000254,74,,Holden,2016-07-17,2017-07-16,NSW
POL000000255,68,,Toyota,2016-05-14,2017-05-13,NSW
POL000000256,41,2014-04-15,Toyota,2016-11-24,2017-11-23,NSW
POL000000257,98,2015-11-02,Hyundai,2016-05-05,2017-05-04,NSW
POL000000258,59,,Mitsubishi,2017-02-28,2018-02-27,NSW
POL000000259,77,2015-10-30,Hyundai,2016-06-21,2017-06-20,NSW
POL000000260,64,,Ford,2016-05-01,2017-04-30,NSW
POL000000261,22,,Toyota,2017-01-11,2018-01-10,NSW
POL000000262,21,,Volkswagen,2017-02-16,2018-02-15,NSW
POL000000263,83,,Honda,2016-06-19,2017-06-18,NSW
POL000000264,46,,Mazda,2016-05-24,2017-05-23,NSW
POL000000265,67,,Toyota,2016-12-12,2017-12-11,NSW
POL000000266,68,,Subaru,2017-01-06,2018-01-05,NSW
POL000000267,25,,Volkswagen,2016-06-26,2017-06-25,NSW
POL000000268,35,,Volkswagen,2016-04-18,2017-04-17,NSW
POL000000269,58,,Honda,2016-05-14,2017-05-13,NSW
POL000000270,32,,Hyundai,2016-06-12,2017-06-11,NSW
POL000000271,85,,Ford,2016-06-21,2017-06-20,NSW
POL000000272,48,2016-06-25,Toyota,2017-03-20,2018-03-19,NSW
POL000000273,61,,Honda,2016-11-01,2017-10-31,NSW
POL000000274,60,,Honda,2017-01-24,2018-01-23,NSW
POL000000275,43,,Subaru,2017-02-21,2018-02-20,NSW
POL000000276,52,,Holden,2016-10-22,2017-10-21,NSW
POL000000277,93,,Nissan,2016-11-22,2017-11-21,NSW
POL000000278,38,,Ford,2016-09-23,2017-09-22,NSW
POL000000279,28,,Toyota,2017-03-05,2018-03-04,NSW
POL000000280,60,2016-04-20,Volkswagen,2017-02-08,2018-02-07,NSW
POL000000281,79,,Holden,2016-08-01,2017-07-31,NSW
POL000000282,19,,Mitsubishi,2016-08-03,2017-08-02,NSW
POL000000283,89,,Ford,2017-02-12,2018-02-11,NSW
POL000000284,80,,Honda,2016-07-18,2017-07-17,NSW
POL000000285,24,2016-07-04,Toyota,2016-12-27,2017-12-26,NSW
POL000000286,22,,Honda,2017-03-05,2018-03-04,NSW
POL000000287,24,,Toyota,2017-03-18,2018-03-17,NSW
POL000000288,79,,Ford,2016-08-07,2017-08-06,NSW
POL000000289,83,,Subaru,2016-05-04,2017-05-03,NSW
POL000000290,86,,Mitsubishi,2016-10-13,2017-10-12,NSW
POL000000291,24,,Hyundai,2017-03-29,2018-03-28,NSW
POL000000292,87,,Holden,2016-04-29,2017-04-28,NSW
POL000000293,20,,Holden,2016-07-23,2017-07-22,NSW
POL000000294,39,,Volkswagen,2016-11-27,2017-11-26,NSW
POL000000295,65,,Ford,2016-10-13,2017-10-12,NSW
POL000000296,30,,Nissan,2016-10-09,2017-10-08,NSW
POL000000297,27,,Honda,2017-01-27,2018-01-26,NSW
POL000000298,26,,Nissan,2017-03-06,2018-03-05,NSW
POL000000299,78,,Honda,2016-04-13,2017-04-12,NSW
POL000000300,23,,Honda,2017-01-24,2018-01-23,NSW
POL000000301,90,,Ford,2016-04-24,2017-04-23,NSW
POL000000302,38,,Nissan,2016-07-08,2017-07-07,NSW
POL000000303,54,,Nissan,2017-02-09,2018-02-08,NSW
POL000000304,96,,Holden,2016-08-27,2017-08-26,NSW
POL000000305,35,,Honda,2016-06-30,2017-06-29,NSW
POL000000306,47,,Subaru,2016-11-26,2017-11-25,NSW
POL000000307,62,,Honda,2017-02-14,2018-02-13,NSW
POL000000308,18,,Mitsubishi,2016-05-14,2017-05-13,NSW
POL000000309,35,,Holden,2016-11-26,2017-11-25,NSW
POL000000310,56,,Mazda,2016-12-01,2017-11-30,NSW
POL000000311,84,,Hyundai,2017-02-17,2018-02-16,NSW
POL000000312,75,,Subaru,2016-05-19,2017-05-18,NSW
POL000000313,68,,Volkswagen,2017-03-29,2018-03-28,NSW
POL000000314,66,,Hyundai,2016-04-07,2017-04-06,NSW
POL000000315,43,2016-06-19,Mazda,2017-02-11,2018-02-10,NSW
POL000000316,35,,Honda,2017-02-20,2018-02-19,NSW
POL000000317,67,,Holden,2016-08-10,2017-08-09,NSW
POL000000318,30,,Hyundai,2016-05-14,2017-05-13,NSW
POL000000319,78,,Honda,2016-04-18,2017-04-17,NSW
POL000000320,93,,Toyota,2017-03-23,2018-03-22,NSW
POL000000321,59,,Honda,2016-08-29,2017-08-28,NSW
POL000000322,24,,Toyota,2016-04-22,2017-04-21,NSW
POL000000323,26,,Volkswagen,2016-08-10,2017-08-09,NSW
POL000000324,82,,Nissan,2016-09-20,2017-09-19,NSW
POL000000325,26,,Mitsubishi,2016-11-23,2017-11-22,NSW
POL000000326,29,2015-10-26,Toyota,2016-06-17,2017-06-16,NSW
POL000000327,73,,Volkswagen,2016-05-23,2017-05-22,NSW
POL000000328,30,,Volkswagen,2016-08-25,2017-08-24,NSW
POL000000329,26,,Volkswagen,2017-02-23,2018-02-22,NSW
POL000000330,62,,Ford,2017-03-13,2018-03-12,NSW
POL000000331,96,,Volkswagen,2016-10-19,2017-10-18,NSW
POL000000332,31,,Volkswagen,2016-11-29,2017-11-28,NSW
POL000000333,81,,Hyundai,2017-03-25,2018-03-24,NSW
POL000000334,49,,Honda,2016-05-14,2017-05-13,NSW
POL000000335,86,,Mitsubishi,2016-05-20,2017-05-19,NSW
POL000000336,91,2016-01-14,Nissan,2016-06-26,2017-06-25,NSW
POL000000337,31,,Toyota,2016-10-17,2017-10-16,NSW
POL000000338,67,,Holden,2016-09-06,2017-09-05,NSW
POL000000339,31,,Mazda,2017-03-29,2018-03-28,NSW
POL000000340,29,,Hyundai,2016-11-06,2017-11-05,NSW
POL000000341,19,,Mazda,2016-05-31,2017-05-30,NSW
POL000000342,86,,Mazda,2016-10-04,2017-10-03,NSW
POL000000343,35,,Subaru,2017-03-05,2018-03-04,NSW
POL000000344,93,,Subaru,2016-04-19,2017-04-18,NSW
POL000000345,25,,Volkswagen,2016-05-22,2017-05-21,NSW
POL000000346,81,,Ford,2017-02-18,2018-02-17,NSW
POL000000347,63,,Honda,2017-01-21,2018-01-20,NSW
POL000000348,92,,Honda,2017-03-30,2018-03-29,NSW
POL000000349,77,,Volkswagen,2016-11-11,2017-11-10,NSW
POL000000350,37,,Mazda,2016-09-14,2017-09-13,NSW
POL000000351,76,,Mitsubishi,2016-06-21,2017-06-20,NSW
POL000000352,75,2015-01-28,Honda,2016-12-15,2017-12-14,NSW
POL000000353,72,,Nissan,2016-10-17,2017-10-16,NSW
POL000000354,75,,Toyota,2017-01-04,2018-01-03,NSW
POL000000355,55,2014-06-16,Holden,2016-07-03,2017-07-02,NSW
POL000000356,24,,Toyota,2016-06-16,2017-06-15,NSW
POL000000357,34,,Mitsubishi,2016-04-14,2017-04-13,NSW
POL000000358,72,,Subaru,2016-07-17,2017-07-16,NSW
POL000000359,82,,Toyota,2017-02-13,2018-02-12,NSW
POL000000360,45,,Holden,2016-06-20,2017-06-19,NSW
POL000000361,52,,Volkswagen,2016-09-18,2017-09-17,NSW
POL000000362,66,,Toyota,2016-10-16,2017-10-15,NSW
POL000000363,22,,Ford,2016-07-27,2017-07-26,NSW
POL000000364,96,,Mitsubishi,2016-06-14,2017-06-13,NSW
POL000000365,59,,Ford,2016-05-04,2017-05-03,NSW
POL000000366,90,,Mitsubishi,2017-02-25,2018-02-24,NSW
POL000000367,99,,Subaru,2016-11-05,2017-11-04,NSW
POL000000368,21,,Honda,2016-07-29,2017-07-28,NSW
POL000000369,82,,Holden,2016-06-28,2017-06-27,NSW
POL000000370,34,,Honda,2016-08-24,2017-08-23,NSW
POL000000371,41,,Nissan,2016-08-16,2017-08-15,NSW
POL000000372,80,,Ford,2016-08-26,2017-08-25,NSW
POL000000373,30,,Hyundai,2017-03-24,2018-03-23,NSW
POL000000374,84,,Mitsubishi,2016-08-23,2017-08-22,NSW
POL000000375,71,,Volkswagen,2016-10-13,2017-10-12,NSW
POL000000376,68,2016-05-01,Subaru,2017-02-24,2018-02-23,NSW
POL000000377,84,,Subaru,2016-04-27,2017-04-26,NSW
POL000000378,34,,Mitsubishi,2016-07-18,2017-07-17,NSW
POL000000379,75,,Subaru,2016-06-03,2017-06-02,NSW
POL000000380,66,,Mazda,2016-08-30,2017-08-29,NSW
POL000000381,81,,Mitsubishi,2016-12-15,2017-12-14,NSW
POL000000382,79,2015-10-10,Mitsubishi,2016-09-13,2017-09-12,NSW
POL000000383,60,,Nissan,2017-01-19,2018-01-18,NSW
POL000000384,91,,Mazda,2016-06-15,2017-06-14,NSW
POL000000385,33,,Nissan,2016-07-24,2017-07-23,NSW
POL000000386,92,,Hyundai,2016-10-05,2017-10-04,NSW
POL000000387,70,,Nissan,2016-09-22,2017-09-21,NSW
POL000000388,69,,Toyota,2016-07-26,2017-07-25,NSW
POL000000389,19,,Hyundai,2016-05-06,2017-05-05,NSW
POL000000390,45,,Holden,2016-06-17,2017-06-16,NSW
POL000000391,55,,Holden,2017-03-02,2018-03-01,NSW
POL000000392,92,,Mazda,2016-04-29,2017-04-28,NSW
POL000000393,25,,Mazda,2017-01-30,2018-01-29,NSW
POL000000394,82,,Holden,2016-05-10,2017-05-09,NSW
POL000000395,40,,Nissan,2016-08-14,2017-08-13,NSW
POL000000396,51,,Mazda,2016-04-23,2017-04-22,NSW
POL000000397,39,,Subaru,2017-04-01,2018-03-31,NSW
POL000000398,37,,Holden,2016-11-16,2017-11-15,NSW
POL000000399,34,,Toyota,2016-10-01,2017-09-30,NSW
POL000000400,95,,Hyundai,2016-04-22,2017-04-21,NSW
POL000000401,44,,Ford,2016-10-07,2017-10-06,NSW
POL000000402,22,,Ford,2016-08-31,2017-08-30,NSW
POL000000403,68,,Holden,2017-03-23,2018-03-22,NSW
POL000000404,31,,Toyota,2016-12-11,2017-12-10,NSW
POL000000405,82,,Ford,2016-04-18,2017-04-17,NSW
POL000000406,23,,Nissan,2016-06-16,2017-06-15,NSW
POL000000407,61,,Subaru,2017-02-18,2018-02-17,NSW
POL000000408,26,,Ford,2016-09-21,2017-09-20,NSW
POL000000409,48,,Nissan,2016-11-24,2017-11-23,NSW
POL000000410,86,,Mitsubishi,2016-06-12,2017-06-11,NSW
POL000000411,73,,Honda,2016-06-23,2017-06-22,NSW
POL000000412,32,,Toyota,2016-09-04,2017-09-03,NSW
POL000000413,72,,Subaru,2017-03-31,2018-03-30,NSW
POL000000414,75,,Volkswagen,2016-11-14,2017-11-13,NSW
POL000000415,92,,Volkswagen,2016-05-02,2017-05-01,NSW
POL000000416,22,,Subaru,2016-12-15,2017-12-14,NSW
POL000000417,27,,Holden,2017-04-02,2018-04-01,NSW
POL000000418,41,2015-11-05,Ford,2016-05-17,2017-05-16,NSW
POL000000419,98,,Subaru,2016-05-31,2017-05-30,NSW
POL000000420,50,,Holden,2017-02-08,2018-02-07,NSW
POL000000421,82,,Holden,2016-04-16,2017-04-15,NSW
POL000000422,53,2016-04-21,Volkswagen,2016-11-13,2017-11-12,NSW
POL000000423,61,,Mitsubishi,2016-06-19,2017-06-18,NSW
POL000000424,45,,Nissan,2017-03-15,2018-03-14,NSW
POL000000425,96,,Honda,2016-10-14,2017-10-13,NSW
